,MW,EACN,Vm,density,TAN,active,PCA_1,PCA_2,PCA_3
Oil_17 + 12.5% Oil_B,342.839398959236,10.830130386333899,367.91502372677803,0.931843977140321,1.79375,1,430.11231990227134,8.587451889533131,209.15780355295027
Oil_17 + 23.2% Oil_F,358.28257016776496,14.1012394843524,401.549106261556,0.892250946598773,1.5744,1,451.0551746654857,11.951498040110506,295.54375317280744
Oil_17 + 3.72% Oil_L,381.920226291332,11.149672357103901,408.682915031754,0.9345147845528551,1.97374,1,479.2822980132984,8.104856897258582,226.3510255980192
Oil_18,306.688280547462,15.5,342.190550122691,0.89625,1.18,1,399.9171588774843,12.700130521023857,295.72645433622654
Oil_18 + 15.5% Oil_G,219.570979322836,11.7467878322791,258.99651578834,0.847775803680218,0.9970244469600001,1,245.82045650331722,15.56541259263543,236.9603642989568
Oil_18 + 16.3% Oil_I,240.552294056049,12.9227146928954,280.438375377598,0.857772384867643,0.98744539222,1,283.4164261992373,15.031732880188883,257.8977836966152
Oil_18 + 18.7% Oil_A,205.218362464753,10.2561538916296,235.47616359779,0.8715037621187008,0.95934,1,228.46885507761442,13.631817240707173,195.02294614995424
Oil_18 + 19.4% Oil_L,211.416428401694,9.06116090705264,237.26744497285,0.891046929872263,0.95163420588,1,234.54408821813513,11.774494318959599,170.44988639299712
Oil_18 + 29.6% Oil_K,264.015102204372,14.908949364744698,309.944317141655,0.851814624765999,0.8306132395,1,318.8103953639616,15.661790453300215,306.5261339245772
Oil_18 + 29.8% Oil_F,277.354536447832,15.6827686767836,324.603587394048,0.8544407616516619,0.82784679676,1,341.10574024057894,15.578203839573767,322.511473552885
Oil_18 + 5.6% Oil_L,271.22093005939803,13.102979708042099,303.130277221187,0.8947338832191091,1.11373095338,1,339.1466834826181,12.346233908502926,248.21485485690755
Oil_18 + 50% Oil_C,194.381698872288,11.7429739113101,241.579822923566,0.804627209838586,0.59,1,185.16400925612413,18.370783644442035,264.7112403927754
Oil_18 + 50% Oil_D,219.01976069217602,13.249752943044,268.29733716231004,0.816332219352879,0.59,1,231.453161611322,17.796075742738317,291.09661938020804
Oil_18 + 50% Oil_F,260.52451832363397,15.787630849588899,314.51319796174903,0.82834208552138,0.59,1,304.9956684684496,17.334856184107892,340.2832637927047
Oil_18 + 50% Oil_H,278.167488897616,16.8662450338783,334.185052331185,0.8323756163155541,0.59,1,335.57045077319515,17.210338102588896,361.800238070349
Oil_18 + 7.4% Oil_L,261.719990357816,12.4608695717064,292.666870948723,0.8942590239524292,1.09292877468,1,322.7382583431458,12.252963207658985,235.6299051642893
Oil_18 + 8.6% Oil_L,255.29358570052398,12.026548367672698,285.589457038884,0.8939181030963771,1.07798041196,1,311.60246698290655,12.190312267455257,227.158436169223
Oil_19,293.362915967814,12.4,340.130917064132,0.8625,0.17,0,254.22791609847414,10.634866820829258,381.88318193831435
Oil_19 + 14.8% Oil_G,216.37582579659698,10.021824295723599,262.647644712879,0.823825494544735,0.14484,0,130.82245386432524,13.43335724673004,333.81329809251514
Oil_19 + 15.5% Oil_I,235.999181840158,10.990987989013501,283.2447516551,0.8331987811287959,0.14365,0,165.3381498765246,12.883775155337938,351.6050708094242
