,issurf,NC,NEO,NPO,HG_SO4,HG_COO,HG_ABS,HG_IOS,HG_Nonionic,cnt,label
Surf_181,1,0.23863636363636362,0.0,0.13846153846153847,1.0,0.0,0.0,0.0,0.0,0.017509727626459144,60
Surf_182,1,0.31818181818181823,0.1,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.017509727626459144,74
Surf_183,1,0.20454545454545456,0.27,0.0,1.0,0.0,0.0,0.0,0.0,0.019455252918287938,66
Surf_184,1,0.2727272727272727,0.14,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.019455252918287938,24
Surf_185,1,0.6363636363636364,0.1,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.019455252918287938,32
Surf_186,1,0.5454545454545454,0.02,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.021400778210116732,32
Surf_187,1,0.2159090909090909,0.12,0.0,1.0,0.0,0.0,0.0,0.0,0.023346303501945526,47
Surf_188,1,0.20454545454545456,0.1,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.023346303501945526,17
Surf_189,1,0.20454545454545456,0.0,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.023346303501945526,63
Surf_190,1,0.5909090909090909,0.1,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.023346303501945526,52
Surf_191,1,0.36363636363636365,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.02529182879377432,57
Surf_192,1,0.5454545454545454,0.3,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.02529182879377432,62
Surf_193,1,0.20454545454545456,0.0,0.13846153846153847,1.0,0.0,0.0,0.0,0.0,0.029182879377431907,63
Surf_194,1,0.4545454545454545,0.2,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.029182879377431907,62
Surf_195,1,0.6363636363636364,0.25,0.4,1.0,0.0,0.0,0.0,0.0,0.029182879377431907,38
Surf_196,1,0.5454545454545454,0.2,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.033073929961089495,23
Surf_197,1,0.5454545454545454,0.1,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.03696498054474708,5
Surf_198,1,0.20454545454545456,0.2,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.038910505836575876,50
Surf_199,1,0.6363636363636364,0.1,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.038910505836575876,9
