,Cat,Formulation,Oil
293,0,0.3%#Surf_181#0.3%#Cosolv_14#,Oil_27
294,0,0.3%#Surf_181#,Oil_27
295,0,0.3%#Surf_181#0.3%#Cosolv_48#,Oil_27
296,0,0.3%#Surf_193#0.3%#Cosolv_14#,Oil_27
297,0,0.3%#Surf_71#,Oil_27
298,0,2%#Surf_212#,Oil_27
299,0,1%#Surf_177#,Oil_27
300,0,1%#Surf_177#1%#Surf_177#,Oil_27
301,0,2%#Surf_212#0.5%#Surf_209#,Oil_27
302,0,2%#Surf_181#0.5%#Surf_209#,Oil_27
303,0,1%#Surf_212#1%#Surf_181#,Oil_27
304,0,1%#Surf_212#1%#Surf_214#,Oil_27
305,0,1%#Surf_212#,Oil_27
306,0,1%#Surf_181#,Oil_27
307,0,1%#Surf_191#1%#Surf_177#,Oil_27
308,0,1%#Surf_191#1%#Surf_177#,Oil_27
309,0,1.5%#Surf_191#0.5%#Surf_110#,Oil_27
310,0,1%#Surf_178#1%#Surf_191#,Oil_27
311,0,1%#Surf_178#1%#Surf_191#,Oil_27
312,0,1%#Surf_189#,Oil_27
313,0,1%#Surf_193#,Oil_27
314,0,1%#Surf_214#,Oil_27
315,0,1.25%#Surf_178#0.75%#Surf_177#,Oil_27
316,0,1%#Surf_189#0.4%#Surf_209#,Oil_27
317,0,1%#Surf_193#0.4%#Surf_209#,Oil_27
318,0,1%#Surf_214#0.4%#Surf_209#,Oil_27
319,0,0.5%#Surf_177#0.5%#Surf_191#,Oil_27
320,0,2%#Surf_172#,Oil_27
321,0,2%#Surf_112#,Oil_27
322,0,1.8%#Surf_172#0.2%#Surf_187#,Oil_27
323,0,1.6%#Surf_172#0.4%#Surf_187#,Oil_27
324,0,1%#Surf_172#0.1%#Surf_177#0.4%#Surf_209#,Oil_27
325,0,0.5%#Surf_114#0.5%#Surf_191#0.4%#Surf_209#,Oil_27
326,0,0.9%#Surf_172#0.1%#Surf_187#0.4%#Surf_209#,Oil_27
327,0,0.9%#Surf_172#0.1%#Surf_187#,Oil_27
328,0,0.3%#Surf_172#0.033%#Surf_187#,Oil_27
329,0,0.9%#Surf_178#0.9%#Surf_191#0.2%#Surf_98#,Oil_27
330,0,0.9%#Surf_178#0.9%#Surf_191#0.2%#Surf_149#,Oil_27
331,0,1%#Surf_181#0.5%#Cosolv_48#,Oil_27
332,0,0.45%#Surf_178#0.45%#Surf_191#0.1%#Surf_149#,Oil_27
333,0,0.45%#Surf_178#0.45%#Surf_191#0.1%#Surf_149#1.5%#Surf_209#,Oil_27
334,0,1%#Surf_193#0.2%#Surf_209#0.5%#Cosolv_48#,Oil_27
335,0,1%#Surf_193#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
336,0,1%#Surf_193#0.1%#Surf_209#1%#Cosolv_48#,Oil_27
337,0,1%#Surf_214#0.5%#Cosolv_48#0%#Surf_209#,Oil_27
