Na,Cl,Ca,Mg,S(6),pH,m_Ca+2,m_CaSO4,m_CaOH+,m_CaHSO4+,m_Cl-,m_Na+,m_NaSO4-,m_NaOH,m_SO4-2,m_Mg+2,m_MgSO4,m_MgOH+,m_HSO4-,la_H+
0.56206,0.62535,0.13608,0.13682,0.24125,-6.864013197,0.091931,0.044149,2.15E-08,9.80E-08,0.62535,0.52036,0.041702,1.38E-18,0.095773,0.077189,0.059629,5.74E-07,3.56E-07,-6.6744
0.64298,0.69882,0.015672,0.26105,0.2488,-6.001519502,0.010875,0.0047972,1.05E-09,2.56E-08,0.69882,0.59821,0.044763,6.54E-19,0.090493,0.1523,0.10875,4.76E-07,7.83E-07,-6.293
0.18389,0.69619,0.15242,0.16028,0.056542,-8.448156531,0.13884,0.013573,8.77E-08,1.14E-08,0.69619,0.18102,0.0028681,1.30E-18,0.018521,0.1387,0.02158,2.69E-06,2.75E-08,-7.097
0.20953,0.67202,0.087449,0.16549,0.021694,-7.887481543,0.08407,0.0033791,1.88E-08,8.13E-09,0.67202,0.20822,0.0013108,5.27E-19,0.007162,0.15565,0.0098417,1.03E-06,3.26E-08,-6.6378
0.2886,1.4477,0.54776,0.042266,0.010451,-8.281437812,0.5418,0.0059585,3.86E-07,3.87E-09,1.4477,0.28795,0.00064925,2.27E-18,0.0030348,0.041457,0.00080796,1.35E-06,2.03E-09,-7.1965
0.51938,1.2923,0.42889,0.088427,0.13084,-8.097243937,0.37217,0.056718,1.52E-07,6.55E-08,1.2923,0.5041,0.015281,2.29E-18,0.04029,0.069874,0.018552,1.22E-06,5.20E-08,-6.9507
0.21115,0.55305,0.034603,0.1745,0.038148,-7.978404801,0.031956,0.0026469,8.74E-09,5.33E-09,0.55305,0.20861,0.0025444,6.43E-19,0.013177,0.15472,0.019779,1.18E-06,5.61E-08,-6.7114
0.098494,0.2463,0.051111,0.026582,0.0037906,-8.738486792,0.050092,0.0010191,3.10E-07,1.02E-10,0.2463,0.098276,0.00021782,6.47E-18,0.0017956,0.02582,0.00075807,3.79E-06,5.96E-10,-7.9872
0.12556,0.16999,0.036448,0.036147,0.050384,-8.030792222,0.027744,0.0087049,3.88E-08,3.88E-09,0.16999,0.12151,0.0040554,1.79E-18,0.026388,0.024911,0.011235,8.20E-07,4.04E-08,-7.3342
0.62361,0.80639,0.24316,0.13776,0.28953,-8.660437538,0.16641,0.076747,2.39E-07,2.66E-08,0.80639,0.57566,0.04795,9.36E-18,0.10507,0.077997,0.059758,3.99E-06,5.16E-08,-7.4795
0.59602,0.33193,0.083165,0.029301,0.24451,-5.867093434,0.04683,0.036335,7.40E-09,1.25E-07,0.33193,0.53346,0.062569,9.51E-19,0.12958,0.013277,0.016024,5.98E-08,9.02E-07,-6.4798
0.40767,1.1574,0.1671,0.25119,0.043399,-8.750841277,0.15916,0.0079403,9.91E-08,6.23E-09,1.1574,0.40388,0.0037879,2.83E-18,0.012115,0.23163,0.019556,5.50E-06,1.23E-08,-7.1231
0.079178,0.17038,0.038367,0.025663,0.018428,-5.437188783,0.034094,0.0042726,1.02E-09,9.08E-08,0.17038,0.078199,0.00097949,2.43E-20,0.0092904,0.021778,0.003885,1.51E-08,7.36E-07,-5.6479
0.17446,0.21496,0.046871,0.028752,0.055371,-5.546240318,0.035784,0.011087,1.79E-09,1.35E-07,0.21496,0.16856,0.0059038,9.03E-20,0.029456,0.019828,0.0089233,2.38E-08,1.14E-06,-5.9041
0.67056,1.2639,0.38428,0.099807,0.18742,-7.471743623,0.3134,0.070882,7.00E-08,1.49E-07,1.2639,0.64176,0.028796,1.60E-18,0.059565,0.071625,0.028182,6.79E-07,1.41E-07,-6.6897
0.94917,0.7234,0.095572,0.066741,0.2752,-8.829987796,0.060845,0.034727,2.65E-07,4.04E-09,0.7234,0.86336,0.085814,4.27E-17,0.12244,0.034514,0.032221,5.06E-06,2.18E-08,-7.9552
0.40676,0.82317,0.18174,0.18041,0.15394,-6.258842068,0.14653,0.03521,1.67E-08,1.57E-07,0.82317,0.39043,0.016331,5.05E-19,0.051506,0.12951,0.050896,4.97E-07,3.53E-07,-6.3708
0.31684,0.39707,0.10389,0.063127,0.1269,-7.702529139,0.074779,0.029108,4.06E-08,3.00E-08,0.39707,0.30027,0.016574,1.83E-18,0.057681,0.03959,0.023536,5.82E-07,1.34E-07,-7.0006
0.48451,0.61986,0.05864,0.21698,0.20794,-8.627429965,0.041873,0.016767,4.16E-08,8.87E-09,0.61986,0.45478,0.029731,5.12E-18,0.076855,0.13239,0.084589,4.06E-06,7.11E-08,-7.2968
0.58449,0.61878,0.084772,0.11648,0.18411,-5.420987526,0.06009,0.024681,2.37E-09,3.30E-07,0.61878,0.54818,0.036307,2.45E-19,0.077119,0.070485,0.045996,8.48E-08,1.85E-06,-5.8937
0.91279,0.57587,0.11144,0.15231,0.43221,-8.552903168,0.061596,0.049844,8.63E-08,1.79E-08,0.57587,0.79779,0.115,1.26E-17,0.18025,0.065193,0.087114,3.18E-06,9.42E-08,-7.4659
0.56561,1.2228,0.20454,0.27288,0.14883,-5.072319082,0.17564,0.028905,2.06E-09,1.18E-06,1.2228,0.54806,0.01755,7.20E-20,0.042119,0.21263,0.060252,1.02E-07,2.03E-06,-5.4059
0.14364,0.34337,0.098149,0.063553,0.061834,-6.544343754,0.081339,0.01681,1.71E-08,4.63E-08,0.34337,0.13986,0.0037813,3.25E-19,0.026229,0.048539,0.015013,2.61E-07,1.85E-07,-6.5664
0.53779,1.113,0.26454,0.19904,0.17597,-9.017249557,0.21743,0.047107,3.67E-07,1.35E-08,1.113,0.51644,0.02135,9.79E-18,0.053836,0.14534,0.053682,9.61E-06,1.92E-08,-7.5596
0.56087,1.0713,0.15338,0.2813,0.17948,-9.286473031,0.12573,0.027648,2.98E-07,5.69E-09,1.0713,0.53862,0.022246,1.44E-17,0.053324,0.20502,0.076264,1.85E-05,1.42E-08,-7.7045
0.55168,0.23024,0.0377,0.011438,0.20986,-5.146829636,0.02029,0.017409,6.86E-10,2.88E-07,0.23024,0.49202,0.059655,1.86E-19,0.1263,0.0049534,0.0064846,4.52E-09,4.74E-06,-5.7937
0.18748,0.68516,0.23533,0.10532,0.091819,-5.492608291,0.20215,0.033187,6.94E-09,5.09E-07,0.68516,0.18256,0.00492,7.11E-20,0.031812,0.083426,0.021898,8.91E-08,8.44E-07,-5.8348
0.33833,1.1823,0.33881,0.13748,0.054307,-9.370764054,0.31832,0.020488,1.36E-06,2.32E-09,1.1823,0.33421,0.0041201,1.60E-17,0.016086,0.12384,0.013614,2.09E-05,2.25E-09,-7.9622
