official_n,test_type,latitude,longitude,x,y,geologic_unit,geologic_ID,cohesion,friction_angle,Vs30_Mean,slope_angle,aspect,elevation,flowline_curvature,general_curvature,plan_curvature,profile_curvature,total_curvature
S-TI_151100_TP2,Direct Shear,34.073769,-118.662219,346622,3771582,Tss,15,4.8,29,468.4,13.83512974,259.0913696,773.9845581,-0.000234139,0.080576383,0.065496095,0.022115989,0.000873602
S-TI_151100_TP2,Direct Shear,34.073769,-118.662219,346622,3771582,Tss,15,43.2,42,468.4,13.83512974,259.0913696,773.9845581,-0.000234139,0.080576383,0.065496095,0.022115989,0.000873602
S-TI_47792_1,Direct Shear,34.067703,-118.615306,350941,3770840,Tss,15,24,33,468.4,12.18692112,285.1767883,580.4069214,-0.000184973,0.067148767,0.044075239,0.022465549,0.000700731
S-TI_47792_1,Direct Shear,34.067703,-118.615306,350941,3770840,Tss,15,21.6,27,468.4,12.18692112,285.1767883,580.4069214,-0.000184973,0.067148767,0.044075239,0.022465549,0.000700731
S-TI_47792_1,Direct Shear,34.067703,-118.615306,350941,3770840,Tss,15,19.2,24,468.4,12.18692112,285.1767883,580.4069214,-0.000184973,0.067148767,0.044075239,0.022465549,0.000700731
S-TI_WO62593_1,Direct Shear,34.108065,-118.599752,352447,3775293,Tss,15,9.6,30,468.4,4.749433041,136.2855072,401.8189392,1.78729E-06,-0.004266296,-0.017679118,-0.000657483,2.73288E-06
S-TI_WO62593_1,Direct Shear,34.108065,-118.599752,352447,3775293,Tss,15,4.8,31,468.4,4.749433041,136.2855072,401.8189392,1.78729E-06,-0.004266296,-0.017679118,-0.000657483,2.73288E-06
S-TI_WO62593_1,Direct Shear,34.108065,-118.599752,352447,3775293,Tss,15,15.6,32,468.4,4.749433041,136.2855072,401.8189392,1.78729E-06,-0.004266296,-0.017679118,-0.000657483,2.73288E-06
S-TI_WO83195_T1,Direct Shear,34.040134,-118.651784,347525,3767836,Tv,16,7.2,30,518.9,22.36932373,59.19689941,28.28784752,-0.004136215,0.129327595,0.07994131,0.02511967,0.003284156
S-TI_WO83195_T4,Direct Shear,34.040134,-118.651705,347532,3767836,Tv,16,12,18,518.9,23.5362072,65.79720306,22.45925522,0.002327386,-0.116821796,-0.046276834,-0.02947923,0.002170677
S-TI_WO85595_T2,Direct Shear,34.040235,-118.652091,347497,3767848,Tv,16,4.8,30,518.9,23.60634041,43.57584,26.45718002,0.001875501,0.015264713,-0.022716843,0.013510335,0.000599783
SEC_2039-85_1,Direct Shear,34.117578,-118.576708,354588,3776315,Tss,15,60,29,468.4,2.470293045,286.6306458,316.2381592,-1.07575E-05,-0.025389532,-0.130320847,-0.007052832,0.000148445
SEC_2039-85_1,Direct Shear,34.117578,-118.576708,354588,3776315,Tss,15,19.2,39,468.4,2.470293045,286.6306458,316.2381592,-1.07575E-05,-0.025389532,-0.130320847,-0.007052832,0.000148445
SEC_2039-85_1,Direct Shear,34.117578,-118.576708,354588,3776315,Tss,15,4.8,37,468.4,2.470293045,286.6306458,316.2381592,-1.07575E-05,-0.025389532,-0.130320847,-0.007052832,0.000148445
SEC_2858-89_1,Direct Shear,34.101459,-118.587115,353601,3774543,Tss,15,21.6,39,468.4,10.20176506,248.8052826,339.7750549,-3.48411E-05,0.001426993,-0.00611415,0.001729126,6.8153E-06
